"Date (TU)","Valeur (en m³/s)","Statut","Qualification","Méthode","Continuité"
2023-01-01T00:00:00.000Z,"355","16",20,8,0
2023-01-01T01:00:00.000Z,"360","16",20,8,0
2023-01-01T02:00:00.000Z,"357","16",20,8,0
2023-01-01T03:00:00.000Z,"355","16",20,8,0
2023-01-01T04:00:00.000Z,"351","16",20,8,0
2023-01-01T05:00:00.000Z,"349","16",20,8,0
2023-01-01T06:00:00.000Z,"346","16",20,8,0
2023-01-01T07:00:00.000Z,"349","16",20,8,0
2023-01-01T08:00:00.000Z,"351","16",20,8,0
2023-01-01T09:00:00.000Z,"352","16",20,8,0
2023-01-01T10:00:00.000Z,"346","16",20,8,0
2023-01-01T11:00:00.000Z,"344","16",20,8,0
2023-01-01T12:00:00.000Z,"345","16",20,8,0
2023-01-01T13:00:00.000Z,"349","16",20,8,0
2023-01-01T14:00:00.000Z,"348","16",20,8,0
2023-01-01T15:00:00.000Z,"347","16",20,8,0
2023-01-01T16:00:00.000Z,"345","16",20,8,0
2023-01-01T17:00:00.000Z,"350","16",20,8,0
2023-01-01T18:00:00.000Z,"349","16",20,8,0
2023-01-01T19:00:00.000Z,"349","16",20,8,0
2023-01-01T20:00:00.000Z,"350","16",20,8,0
2023-01-01T21:00:00.000Z,"350","16",20,8,0
2023-01-01T22:00:00.000Z,"349","16",20,8,0
2023-01-01T23:00:00.000Z,"343","16",20,8,0
2023-01-02T00:00:00.000Z,"346","16",20,8,0
2023-01-02T01:00:00.000Z,"345","16",20,8,0
2023-01-02T02:00:00.000Z,"345","16",20,8,0
2023-01-02T03:00:00.000Z,"339","16",20,8,0
2023-01-02T04:00:00.000Z,"341","16",20,8,0
2023-01-02T05:00:00.000Z,"345","16",20,8,0
2023-01-02T06:00:00.000Z,"341","16",20,8,0
2023-01-02T07:00:00.000Z,"346","16",20,8,0
2023-01-02T08:00:00.000Z,"340","16",20,8,0
2023-01-02T09:00:00.000Z,"335","16",20,8,0
2023-01-02T10:00:00.000Z,"337","16",20,8,0
2023-01-02T11:00:00.000Z,"339","16",20,8,0
2023-01-02T12:00:00.000Z,"339","16",20,8,0
2023-01-02T13:00:00.000Z,"338","16",20,8,0
2023-01-02T14:00:00.000Z,"338","16",20,8,0
2023-01-02T15:00:00.000Z,"334","16",20,8,0
2023-01-02T16:00:00.000Z,"332","16",20,8,0
2023-01-02T17:00:00.000Z,"326","16",20,8,0
2023-01-02T18:00:00.000Z,"333","16",20,8,0
2023-01-02T19:00:00.000Z,"331","16",20,8,0
2023-01-02T20:00:00.000Z,"335","16",20,8,0
2023-01-02T21:00:00.000Z,"333","16",20,8,0
2023-01-02T22:00:00.000Z,"333","16",20,8,0
2023-01-02T23:00:00.000Z,"328","16",20,8,0
2023-01-03T00:00:00.000Z,"325","16",20,8,0
2023-01-03T01:00:00.000Z,"325","16",20,8,0
2023-01-03T02:00:00.000Z,"325","16",20,8,0
2023-01-03T03:00:00.000Z,"327","16",20,8,0
2023-01-03T04:00:00.000Z,"325","16",20,8,0
2023-01-03T05:00:00.000Z,"327","16",20,8,0
2023-01-03T06:00:00.000Z,"318","16",20,8,0
2023-01-03T07:00:00.000Z,"322","16",20,8,0
2023-01-03T08:00:00.000Z,"321","16",20,8,0
2023-01-03T09:00:00.000Z,"323","16",20,8,0
2023-01-03T10:00:00.000Z,"315","16",20,8,0
2023-01-03T11:00:00.000Z,"307","16",20,8,0
2023-01-03T12:00:00.000Z,"298","16",20,8,0
2023-01-03T13:00:00.000Z,"300","16",20,8,0
2023-01-03T14:00:00.000Z,"296","16",20,8,0
2023-01-03T15:00:00.000Z,"279","16",20,8,0
2023-01-03T16:00:00.000Z,"270","16",20,8,0
2023-01-03T17:00:00.000Z,"278","16",20,8,0
2023-01-03T18:00:00.000Z,"283","16",20,8,0
2023-01-03T19:00:00.000Z,"283","16",20,8,0
2023-01-03T20:00:00.000Z,"286","16",20,8,0
2023-01-03T21:00:00.000Z,"291","16",20,8,0
2023-01-03T22:00:00.000Z,"293","16",20,8,0
2023-01-03T23:00:00.000Z,"293","16",20,8,0
2023-01-04T00:00:00.000Z,"294","16",20,8,0
2023-01-04T01:00:00.000Z,"292","16",20,8,0
2023-01-04T02:00:00.000Z,"289","16",20,8,0
2023-01-04T03:00:00.000Z,"292","16",20,8,0
2023-01-04T04:00:00.000Z,"292","16",20,8,0
2023-01-04T05:00:00.000Z,"296","16",20,8,0
2023-01-04T06:00:00.000Z,"297","16",20,8,0
2023-01-04T07:00:00.000Z,"302","16",20,8,0
2023-01-04T08:00:00.000Z,"308","16",20,8,0
2023-01-04T09:00:00.000Z,"315","16",20,8,0
2023-01-04T10:00:00.000Z,"307","16",20,8,0
2023-01-04T11:00:00.000Z,"304","16",20,8,0
2023-01-04T12:00:00.000Z,"305","16",20,8,0
2023-01-04T13:00:00.000Z,"314","16",20,8,0
2023-01-04T14:00:00.000Z,"317","16",20,8,0
2023-01-04T15:00:00.000Z,"311","16",20,8,0
2023-01-04T16:00:00.000Z,"307","16",20,8,0
2023-01-04T17:00:00.000Z,"301","16",20,8,0
2023-01-04T18:00:00.000Z,"306","16",20,8,0
2023-01-04T19:00:00.000Z,"309","16",20,8,0
2023-01-04T20:00:00.000Z,"306","16",20,8,0
2023-01-04T21:00:00.000Z,"304","16",20,8,0
2023-01-04T22:00:00.000Z,"304","16",20,8,0
2023-01-04T23:00:00.000Z,"302","16",20,8,0
2023-01-05T00:00:00.000Z,"298","16",20,8,0
2023-01-05T01:00:00.000Z,"297","16",20,8,0
2023-01-05T02:00:00.000Z,"297","16",20,8,0
2023-01-05T03:00:00.000Z,"293","16",20,8,0
2023-01-05T04:00:00.000Z,"293","16",20,8,0
2023-01-05T05:00:00.000Z,"295","16",20,8,0
2023-01-05T06:00:00.000Z,"299","16",20,8,0
2023-01-05T07:00:00.000Z,"294","16",20,8,0
2023-01-05T08:00:00.000Z,"298","16",20,8,0
2023-01-05T09:00:00.000Z,"296","16",20,8,0
2023-01-05T10:00:00.000Z,"299","16",20,8,0
2023-01-05T11:00:00.000Z,"291","16",20,8,0
2023-01-05T12:00:00.000Z,"279","16",20,8,0
2023-01-05T13:00:00.000Z,"277","16",20,8,0
2023-01-05T14:00:00.000Z,"284","16",20,8,0
2023-01-05T15:00:00.000Z,"287","16",20,8,0
2023-01-05T16:00:00.000Z,"295","16",20,8,0
2023-01-05T17:00:00.000Z,"297","16",20,8,0
2023-01-05T18:00:00.000Z,"296","16",20,8,0
2023-01-05T19:00:00.000Z,"289","16",20,8,0
2023-01-05T20:00:00.000Z,"291","16",20,8,0
2023-01-05T21:00:00.000Z,"294","16",20,8,0
2023-01-05T22:00:00.000Z,"298","16",20,8,0
2023-01-05T23:00:00.000Z,"299","16",20,8,0
2023-01-06T00:00:00.000Z,"297","16",20,8,0
2023-01-06T01:00:00.000Z,"297","16",20,8,0
2023-01-06T02:00:00.000Z,"295","16",20,8,0
2023-01-06T03:00:00.000Z,"290","16",20,8,0
2023-01-06T04:00:00.000Z,"289","16",20,8,0
2023-01-06T05:00:00.000Z,"288","16",20,8,0
2023-01-06T06:00:00.000Z,"283","16",20,8,0
2023-01-06T07:00:00.000Z,"278","16",20,8,0
2023-01-06T08:00:00.000Z,"283","16",20,8,0
2023-01-06T09:00:00.000Z,"290","16",20,8,0
2023-01-06T10:00:00.000Z,"284","16",20,8,0
2023-01-06T11:00:00.000Z,"293","16",20,8,0
2023-01-06T12:00:00.000Z,"287","16",20,8,0
2023-01-06T13:00:00.000Z,"287","16",20,8,0
2023-01-06T14:00:00.000Z,"286","16",20,8,0
2023-01-06T15:00:00.000Z,"277","16",20,8,0
2023-01-06T16:00:00.000Z,"276","16",20,8,0
2023-01-06T17:00:00.000Z,"283","16",20,8,0
2023-01-06T18:00:00.000Z,"287","16",20,8,0
2023-01-06T19:00:00.000Z,"289","16",20,8,0
2023-01-06T20:00:00.000Z,"287","16",20,8,0
2023-01-06T21:00:00.000Z,"284","16",20,8,0
2023-01-06T22:00:00.000Z,"286","16",20,8,0
2023-01-06T23:00:00.000Z,"290","16",20,8,0
2023-01-07T00:00:00.000Z,"291","16",20,8,0
2023-01-07T01:00:00.000Z,"290","16",20,8,0
2023-01-07T02:00:00.000Z,"290","16",20,8,0
2023-01-07T03:00:00.000Z,"287","16",20,8,0
2023-01-07T04:00:00.000Z,"283","16",20,8,0
