Club;Adresse
Aviron Caudebec Vallée de Seine;9 route de Villequier 76490 Rives-en-Seine
Cercle nautique de Canteleu-Croisset;46 Quai Gustave Flaubert 76380 Canteleu
Club Nautique Et Athletique De Rouen; 20 Rue de l'Industrie 76100 Rouen
Club nautique de Belbeuf;8 Rte de Paris 76240 Belbeuf
Aviron Club Andelys-Tosny;Chemin de la Haguette 27700 Les Trois Lacs
Emulation Nautique de Vernon;Impasse de la Chaussée 27200 Vernon
Association sportive Mantaise;Boulevard Sully, 78200 Mantes-la-Jolie
Aviron Meulan-les-Mureaux Hardricourt;15 Rue de Lorraine 78200 Mantes-la-Jolie
Aviron Club de Villennes-Poissy;Chemin des Pêcheurs 78670 Villennes-sur-Seine
Rowing Club de Port-Marly;12 Rue de Paris 78560 Le Port-Marly
Club Olympique Multisports d'Argenteuil;2 Boulevard du Général Leclerc 95100 Argenteuil
Société Nautique de la Basse-Seine;26 Quai du Président Paul Doumer 92400 Courbevoie
Cercle nautique de France;Rue du Pont 92200 Neuilly-sur-Seine
Val-de-Seine Nautique;4 Rue de Saint-Cloud 92310 Sèvres
Boulogne 92;4 Rue de Saint-Cloud 92310 Sèvres
Club Nautique d'Ablon-sur-Seine;14 rue Sully 94480 Ablon sur Seine 
Société Nautique de la Haute Seine;49 Av. Libert 91210 Draveil
Union sportive de Ris-Orangis Aviron;60 rue Albert Remy 91130 Ris Orangis 
Club nautique de Soisy-sur-Seine;1 Rue du Port 91450 Soisy-sur-Seine
SCA 2000 Aviron Evry;Chemin de Halage 91000 Evry-Courcouronnes
Aviron 91 Association sportive Corbeil-Essonnes;71 Quai Maurice Riquiez 91100 Corbeil-Essonnes
Aviron du Coudray-Montceaux;Place de la Gare 91830 Le Coudray-Montceaux
Cercle nautique de Melun;Rue des Mariniers 77000 Melun
Aviron du Pays de Fontainebleau;1bis Quai des Platreries 77920 Samois-sur-Seine
Cercle d'Aviron Nogentais;Rue de Villiers aux Choux 10400 Nogent-sur-Seine
Société nautique troyenne;1 Av. Auguste Terrenoire 10800 Saint-Julien-les-Villas
