"Date (TU)","Valeur (en m³/s)","Statut","Qualification","Méthode","Continuité"
2023-01-11T18:00:00.000Z,"506","12",12,8,4
2023-01-11T19:00:00.000Z,"506","12",12,8,0
2023-01-14T22:00:00.000Z,"526","12",12,8,4
2023-01-14T23:00:00.000Z,"532","12",12,8,0
2023-01-15T00:00:00.000Z,"533","12",12,8,0
2023-01-15T01:00:00.000Z,"534","12",12,8,0
2023-01-15T02:00:00.000Z,"533","12",12,8,0
2023-01-15T03:00:00.000Z,"530","12",12,8,0
2023-01-15T04:00:00.000Z,"529","12",12,8,0
2023-01-15T05:00:00.000Z,"529","12",12,8,0
2023-01-15T06:00:00.000Z,"528","12",12,8,0
2023-01-15T07:00:00.000Z,"529","12",12,8,0
2023-01-15T08:00:00.000Z,"527","12",12,8,0
2023-01-15T09:00:00.000Z,"526","12",12,8,0
2023-01-15T10:00:00.000Z,"523","12",12,8,0
2023-01-15T11:00:00.000Z,"524","12",12,8,0
2023-01-15T12:00:00.000Z,"521","12",12,8,0
2023-01-15T13:00:00.000Z,"528","12",12,8,0
2023-01-15T14:00:00.000Z,"537","12",12,8,0
2023-01-15T15:00:00.000Z,"541","12",12,8,0
2023-01-15T16:00:00.000Z,"556","12",12,8,0
2023-01-15T17:00:00.000Z,"560","12",12,8,0
2023-01-15T18:00:00.000Z,"558","12",12,8,0
2023-01-15T19:00:00.000Z,"554","12",12,8,0
2023-01-15T20:00:00.000Z,"548","12",12,8,0
2023-01-15T21:00:00.000Z,"543","12",12,8,0
2023-01-15T22:00:00.000Z,"539","12",12,8,0
2023-01-15T23:00:00.000Z,"535","12",12,8,0
2023-01-16T00:00:00.000Z,"535","12",12,8,0
2023-01-16T01:00:00.000Z,"534","12",12,8,0
2023-01-16T02:00:00.000Z,"534","12",12,8,0
2023-01-16T03:00:00.000Z,"538","12",12,8,0
2023-01-16T04:00:00.000Z,"540","12",12,8,0
2023-01-16T05:00:00.000Z,"542","12",12,8,0
2023-01-16T06:00:00.000Z,"550","12",12,8,0
2023-01-16T07:00:00.000Z,"553","12",12,8,0
2023-01-16T08:00:00.000Z,"565","12",12,8,0
2023-01-16T09:00:00.000Z,"570","12",12,8,0
2023-01-16T10:00:00.000Z,"582","12",12,8,0
2023-01-16T11:00:00.000Z,"602","12",12,8,0
2023-01-16T12:00:00.000Z,"619","12",12,8,0
2023-01-16T13:00:00.000Z,"643","12",12,8,0
2023-01-16T14:00:00.000Z,"650","12",12,8,0
2023-01-16T15:00:00.000Z,"655","12",12,8,0
2023-01-16T16:00:00.000Z,"653","12",12,8,0
2023-01-16T17:00:00.000Z,"652","12",12,8,0
2023-01-16T18:00:00.000Z,"645","12",12,8,0
2023-01-16T19:00:00.000Z,"642","12",12,8,0
2023-01-16T20:00:00.000Z,"639","12",12,8,0
2023-01-16T21:00:00.000Z,"638","12",12,8,0
2023-01-16T22:00:00.000Z,"637","12",12,8,0
2023-01-16T23:00:00.000Z,"639","12",12,8,0
2023-01-17T00:00:00.000Z,"639","12",12,8,0
2023-01-17T01:00:00.000Z,"640","12",12,8,0
2023-01-17T02:00:00.000Z,"640","12",12,8,0
2023-01-17T03:00:00.000Z,"641","12",12,8,0
2023-01-17T04:00:00.000Z,"641","12",12,8,0
2023-01-17T05:00:00.000Z,"641","12",12,8,0
2023-01-17T06:00:00.000Z,"641","12",12,8,0
2023-01-17T07:00:00.000Z,"641","12",12,8,0
2023-01-17T08:00:00.000Z,"642","12",12,8,0
2023-01-17T09:00:00.000Z,"642","12",12,8,0
2023-01-17T10:00:00.000Z,"641","12",12,8,0
2023-01-17T11:00:00.000Z,"641","12",12,8,0
2023-01-17T12:00:00.000Z,"638","12",12,8,0
2023-01-17T13:00:00.000Z,"633","12",12,8,0
2023-01-17T14:00:00.000Z,"625","12",12,8,0
2023-01-17T15:00:00.000Z,"602","12",12,8,0
2023-01-17T16:00:00.000Z,"596","12",12,8,0
2023-01-17T17:00:00.000Z,"599","12",12,8,0
2023-01-17T18:00:00.000Z,"608","12",12,8,0
2023-01-17T19:00:00.000Z,"618","12",12,8,0
2023-01-17T20:00:00.000Z,"622","12",12,8,0
2023-01-17T21:00:00.000Z,"629","12",12,8,0
2023-01-17T22:00:00.000Z,"646","12",12,8,0
2023-01-17T23:00:00.000Z,"651","12",12,8,0
2023-01-18T00:00:00.000Z,"658","12",12,8,0
2023-01-18T01:00:00.000Z,"665","12",12,8,0
2023-01-18T02:00:00.000Z,"669","12",12,8,0
2023-01-18T03:00:00.000Z,"671","12",12,8,0
2023-01-18T04:00:00.000Z,"673","12",12,8,0
2023-01-18T05:00:00.000Z,"675","12",12,8,0
2023-01-18T06:00:00.000Z,"678","12",12,8,0
2023-01-18T07:00:00.000Z,"683","12",12,8,0
2023-01-18T08:00:00.000Z,"688","12",12,8,0
2023-01-18T09:00:00.000Z,"688","12",12,8,0
2023-01-18T10:00:00.000Z,"688","12",12,8,0
2023-01-18T11:00:00.000Z,"691","12",12,8,0
2023-01-18T12:00:00.000Z,"692","12",12,8,0
2023-01-18T13:00:00.000Z,"691","12",12,8,0
2023-01-18T14:00:00.000Z,"690","12",12,8,0
2023-01-18T15:00:00.000Z,"693","12",12,8,0
2023-01-18T16:00:00.000Z,"687","12",12,8,0
2023-01-18T17:00:00.000Z,"688","12",12,8,0
2023-01-18T18:00:00.000Z,"688","12",12,8,0
2023-01-18T19:00:00.000Z,"689","12",12,8,0
2023-01-18T20:00:00.000Z,"689","12",12,8,0
2023-01-18T21:00:00.000Z,"693","12",12,8,0
2023-01-18T22:00:00.000Z,"692","12",12,8,0
2023-01-18T23:00:00.000Z,"693","12",12,8,0
2023-01-19T00:00:00.000Z,"691","12",12,8,0
2023-01-19T01:00:00.000Z,"691","12",12,8,0
2023-01-19T02:00:00.000Z,"689","12",12,8,0
2023-01-19T03:00:00.000Z,"688","12",12,8,0
2023-01-19T04:00:00.000Z,"686","12",12,8,0
2023-01-19T05:00:00.000Z,"683","12",12,8,0
2023-01-19T06:00:00.000Z,"682","12",12,8,0
2023-01-19T07:00:00.000Z,"679","12",12,8,0
2023-01-19T08:00:00.000Z,"676","12",12,8,0
2023-01-19T09:00:00.000Z,"673","12",12,8,0
2023-01-19T10:00:00.000Z,"671","12",12,8,0
2023-01-19T11:00:00.000Z,"669","12",12,8,0
2023-01-19T12:00:00.000Z,"671","12",12,8,0
2023-01-19T13:00:00.000Z,"671","12",12,8,0
2023-01-19T14:00:00.000Z,"673","12",12,8,0
2023-01-19T15:00:00.000Z,"670","12",12,8,0
2023-01-19T16:00:00.000Z,"670","12",12,8,0
2023-01-19T17:00:00.000Z,"672","12",12,8,0
2023-01-19T18:00:00.000Z,"676","12",12,8,0
2023-01-19T19:00:00.000Z,"677","12",12,8,0
2023-01-19T20:00:00.000Z,"678","12",12,8,0
2023-01-19T21:00:00.000Z,"680","12",12,8,0
2023-01-19T22:00:00.000Z,"681","12",12,8,0
2023-01-19T23:00:00.000Z,"682","12",12,8,0
2023-01-20T00:00:00.000Z,"682","12",12,8,0
2023-01-20T01:00:00.000Z,"683","12",12,8,0
2023-01-20T02:00:00.000Z,"683","12",12,8,0
2023-01-20T03:00:00.000Z,"683","12",12,8,0
2023-01-20T04:00:00.000Z,"683","12",12,8,0
2023-01-20T05:00:00.000Z,"685","12",12,8,0
2023-01-20T06:00:00.000Z,"685","12",12,8,0
2023-01-20T07:00:00.000Z,"683","12",12,8,0
2023-01-20T08:00:00.000Z,"683","12",12,8,0
2023-01-20T09:00:00.000Z,"683","12",12,8,0
2023-01-20T10:00:00.000Z,"681","12",12,8,0
2023-01-20T11:00:00.000Z,"679","12",12,8,0
2023-01-20T12:00:00.000Z,"678","12",12,8,0
2023-01-20T13:00:00.000Z,"677","12",12,8,0
2023-01-20T14:00:00.000Z,"679","12",12,8,0
2023-01-20T15:00:00.000Z,"677","12",12,8,0
2023-01-20T16:00:00.000Z,"681","12",12,8,0
2023-01-20T17:00:00.000Z,"681","12",12,8,0
2023-01-20T18:00:00.000Z,"682","12",12,8,0
2023-01-20T19:00:00.000Z,"682","12",12,8,0
2023-01-20T20:00:00.000Z,"685","12",12,8,0
2023-01-20T21:00:00.000Z,"683","12",12,8,0
2023-01-20T22:00:00.000Z,"683","12",12,8,0
2023-01-20T23:00:00.000Z,"685","12",12,8,0
2023-01-21T00:00:00.000Z,"683","12",12,8,0
2023-01-21T01:00:00.000Z,"683","12",12,8,0
2023-01-21T02:00:00.000Z,"681","12",12,8,0
2023-01-21T03:00:00.000Z,"679","12",12,8,0
2023-01-21T04:00:00.000Z,"673","12",12,8,0
2023-01-21T05:00:00.000Z,"669","12",12,8,0
2023-01-21T06:00:00.000Z,"665","12",12,8,0
2023-01-21T07:00:00.000Z,"661","12",12,8,0
2023-01-21T08:00:00.000Z,"659","12",12,8,0
2023-01-21T09:00:00.000Z,"659","12",12,8,0
2023-01-21T10:00:00.000Z,"657","12",12,8,0
2023-01-21T11:00:00.000Z,"659","12",12,8,0
2023-01-21T12:00:00.000Z,"658","12",12,8,0
2023-01-21T13:00:00.000Z,"659","12",12,8,0
2023-01-21T14:00:00.000Z,"661","12",12,8,0
2023-01-21T15:00:00.000Z,"661","12",12,8,0
2023-01-21T16:00:00.000Z,"662","12",12,8,0
2023-01-21T17:00:00.000Z,"662","12",12,8,0
2023-01-21T18:00:00.000Z,"665","12",12,8,0
2023-01-21T19:00:00.000Z,"663","12",12,8,0
2023-01-21T20:00:00.000Z,"663","12",12,8,0
2023-01-21T21:00:00.000Z,"665","12",12,8,0
2023-01-21T22:00:00.000Z,"666","12",12,8,0
2023-01-21T23:00:00.000Z,"667","12",12,8,0
2023-01-22T00:00:00.000Z,"667","12",12,8,0
2023-01-22T01:00:00.000Z,"666","12",12,8,0
2023-01-22T02:00:00.000Z,"664","12",12,8,0
2023-01-22T03:00:00.000Z,"663","12",12,8,0
2023-01-22T04:00:00.000Z,"661","12",12,8,0
2023-01-22T05:00:00.000Z,"658","12",12,8,0
2023-01-22T06:00:00.000Z,"655","12",12,8,0
2023-01-22T07:00:00.000Z,"651","12",12,8,0
2023-01-22T08:00:00.000Z,"646","12",12,8,0
2023-01-22T09:00:00.000Z,"632","12",12,8,0
2023-01-22T10:00:00.000Z,"625","12",12,8,0
2023-01-22T11:00:00.000Z,"619","12",12,8,0
2023-01-22T12:00:00.000Z,"616","12",12,8,0
2023-01-22T13:00:00.000Z,"615","12",12,8,0
2023-01-22T14:00:00.000Z,"617","12",12,8,0
2023-01-22T15:00:00.000Z,"619","12",12,8,0
2023-01-22T16:00:00.000Z,"625","12",12,8,0
2023-01-22T17:00:00.000Z,"626","12",12,8,0
2023-01-22T18:00:00.000Z,"627","12",12,8,0
2023-01-22T19:00:00.000Z,"629","12",12,8,0
2023-01-22T20:00:00.000Z,"631","12",12,8,0
2023-01-22T21:00:00.000Z,"632","12",12,8,0
2023-01-22T22:00:00.000Z,"633","12",12,8,0
2023-01-22T23:00:00.000Z,"633","12",12,8,0
2023-01-23T00:00:00.000Z,"633","12",12,8,0
2023-01-23T01:00:00.000Z,"632","12",12,8,0
2023-01-23T02:00:00.000Z,"631","12",12,8,0
2023-01-23T03:00:00.000Z,"631","12",12,8,0
2023-01-23T04:00:00.000Z,"631","12",12,8,0
2023-01-23T05:00:00.000Z,"634","12",12,8,0
2023-01-23T06:00:00.000Z,"639","12",12,8,0
2023-01-23T07:00:00.000Z,"640","12",12,8,0
2023-01-23T08:00:00.000Z,"643","12",12,8,0
2023-01-23T09:00:00.000Z,"645","12",12,8,0
2023-01-23T10:00:00.000Z,"645","12",12,8,0
2023-01-23T11:00:00.000Z,"644","12",12,8,0
2023-01-23T12:00:00.000Z,"644","12",12,8,0
2023-01-23T13:00:00.000Z,"646","12",12,8,0
2023-01-23T14:00:00.000Z,"642","12",12,8,0
2023-01-23T15:00:00.000Z,"643","12",12,8,0
2023-01-23T16:00:00.000Z,"641","12",12,8,0
2023-01-23T17:00:00.000Z,"642","12",12,8,0
2023-01-23T18:00:00.000Z,"644","12",12,8,0
2023-01-23T19:00:00.000Z,"645","12",12,8,0
2023-01-23T20:00:00.000Z,"648","12",12,8,0
2023-01-23T21:00:00.000Z,"650","12",12,8,0
2023-01-23T22:00:00.000Z,"652","12",12,8,0
2023-01-23T23:00:00.000Z,"664","12",12,8,0
2023-01-24T00:00:00.000Z,"669","12",12,8,0
2023-01-24T01:00:00.000Z,"668","12",12,8,0
2023-01-24T02:00:00.000Z,"667","12",12,8,0
2023-01-24T03:00:00.000Z,"666","12",12,8,0
2023-01-24T04:00:00.000Z,"666","12",12,8,0
2023-01-24T05:00:00.000Z,"664","12",12,8,0
2023-01-24T06:00:00.000Z,"663","12",12,8,0
2023-01-24T07:00:00.000Z,"661","12",12,8,0
2023-01-24T08:00:00.000Z,"664","12",12,8,0
2023-01-24T09:00:00.000Z,"662","12",12,8,0
2023-01-24T10:00:00.000Z,"655","12",12,8,0
2023-01-24T11:00:00.000Z,"644","12",12,8,0
2023-01-24T12:00:00.000Z,"641","12",12,8,0
2023-01-24T13:00:00.000Z,"640","12",12,8,0
2023-01-24T14:00:00.000Z,"640","12",12,8,0
2023-01-24T15:00:00.000Z,"642","12",12,8,0
2023-01-24T16:00:00.000Z,"643","12",12,8,0
2023-01-24T17:00:00.000Z,"637","12",12,8,0
2023-01-24T18:00:00.000Z,"642","12",12,8,0
2023-01-24T19:00:00.000Z,"640","12",12,8,0
2023-01-24T20:00:00.000Z,"642","12",12,8,0
2023-01-24T21:00:00.000Z,"641","12",12,8,0
2023-01-24T22:00:00.000Z,"641","12",12,8,0
2023-01-24T23:00:00.000Z,"644","12",12,8,0
2023-01-25T00:00:00.000Z,"643","12",12,8,0
2023-01-25T01:00:00.000Z,"643","12",12,8,0
2023-01-25T02:00:00.000Z,"644","12",12,8,0
2023-01-25T03:00:00.000Z,"643","12",12,8,0
2023-01-25T04:00:00.000Z,"643","12",12,8,0
2023-01-25T05:00:00.000Z,"642","12",12,8,0
2023-01-25T06:00:00.000Z,"641","12",12,8,0
2023-01-25T07:00:00.000Z,"641","12",12,8,0
2023-01-25T08:00:00.000Z,"642","12",12,8,0
2023-01-25T09:00:00.000Z,"638","12",12,8,0
2023-01-25T10:00:00.000Z,"639","12",12,8,0
2023-01-25T11:00:00.000Z,"638","12",12,8,0
2023-01-25T12:00:00.000Z,"635","12",12,8,0
2023-01-25T13:00:00.000Z,"638","12",12,8,0
2023-01-25T14:00:00.000Z,"635","12",12,8,0
2023-01-25T15:00:00.000Z,"636","12",12,8,0
2023-01-25T16:00:00.000Z,"639","12",12,8,0
2023-01-25T17:00:00.000Z,"638","12",12,8,0
2023-01-25T18:00:00.000Z,"634","12",12,8,0
2023-01-25T19:00:00.000Z,"629","12",12,8,0
2023-01-25T20:00:00.000Z,"622","12",12,8,0
2023-01-25T21:00:00.000Z,"618","12",12,8,0
2023-01-25T22:00:00.000Z,"615","12",12,8,0
