"Date (TU)","Valeur (en m³/s)","Statut","Qualification","Méthode","Continuité"
2023-01-01T00:00:00.000Z,754,12,20,8,0
2023-01-01T01:00:00.000Z,757,12,20,8,0
2023-01-01T02:00:00.000Z,757,12,20,8,0
2023-01-01T03:00:00.000Z,758,12,20,8,0
2023-01-01T04:00:00.000Z,757,12,20,8,0
2023-01-01T05:00:00.000Z,757,12,20,8,0
2023-01-01T06:00:00.000Z,754,12,20,8,0
2023-01-01T07:00:00.000Z,754,12,20,8,0
2023-01-01T08:00:00.000Z,754,12,20,8,0
2023-01-01T09:00:00.000Z,746,12,20,8,0
2023-01-01T10:00:00.000Z,751,12,20,8,0
2023-01-01T11:00:00.000Z,757,12,20,8,0
2023-01-01T12:00:00.000Z,763,12,20,8,0
2023-01-01T13:00:00.000Z,776,12,20,8,0
2023-01-01T14:00:00.000Z,890,12,20,8,0
2023-01-01T15:00:00.000Z,1014,12,20,8,0
2023-01-01T16:00:00.000Z,903,12,20,8,0
2023-01-01T17:00:00.000Z,862,12,20,8,0
2023-01-01T18:00:00.000Z,817,12,20,8,0
2023-01-01T19:00:00.000Z,792,12,20,8,0
2023-01-01T20:00:00.000Z,795,12,20,8,0
2023-01-01T21:00:00.000Z,786,12,20,8,0
2023-01-01T22:00:00.000Z,772,12,20,8,0
2023-01-01T23:00:00.000Z,760,12,20,8,0
2023-01-02T00:00:00.000Z,769,12,20,8,0
2023-01-02T01:00:00.000Z,811,12,20,8,0
2023-01-02T02:00:00.000Z,761,12,20,8,0
2023-01-02T03:00:00.000Z,757,12,20,8,0
2023-01-02T04:00:00.000Z,765,12,20,8,0
2023-01-02T05:00:00.000Z,786,12,20,8,0
2023-01-02T06:00:00.000Z,775,12,20,8,0
2023-01-02T07:00:00.000Z,760,12,20,8,0
2023-01-02T08:00:00.000Z,757,12,20,8,0
2023-01-02T09:00:00.000Z,759,12,20,8,0
2023-01-02T10:00:00.000Z,760,12,20,8,0
2023-01-02T11:00:00.000Z,761,12,20,8,0
2023-01-02T12:00:00.000Z,759,12,20,8,0
2023-01-02T13:00:00.000Z,759,12,20,8,0
2023-01-02T14:00:00.000Z,756,12,20,8,0
2023-01-02T15:00:00.000Z,756,12,20,8,0
2023-01-02T16:00:00.000Z,757,12,20,8,0
2023-01-02T17:00:00.000Z,762,12,20,8,0
2023-01-02T18:00:00.000Z,760,12,20,8,0
2023-01-02T19:00:00.000Z,751,12,20,8,0
2023-01-02T20:00:00.000Z,740,12,20,8,0
2023-01-02T21:00:00.000Z,724,12,20,8,0
2023-01-02T22:00:00.000Z,723,12,20,8,0
2023-01-02T23:00:00.000Z,715,12,20,8,0
2023-01-03T00:00:00.000Z,707,12,20,8,0
2023-01-03T01:00:00.000Z,714,12,20,8,0
2023-01-03T02:00:00.000Z,724,12,20,8,0
2023-01-03T03:00:00.000Z,704,12,20,8,0
2023-01-03T04:00:00.000Z,707,12,20,8,0
2023-01-03T05:00:00.000Z,709,12,20,8,0
