"cdentite";"lbstationhydro";"typestation";"dtmiseservice";"dtfermeture";"longitude";"latitude"
"1011000101";[Barbotteau] à Petit-Bourg - Barbotteau;STD;2012-11-11 00:00:00;;-61.658989596947336;16.18940247154473
"1011000201";[Grande riviere a goyave] à Petit-Bourg - Petit-Bourg [canal d'Arnouville];STD;1974-04-29 00:00:00;1975-12-03 00:00:00;-61.65194975462324;16.19582925038803
"1011000301";[La Grande Rivière à Goyaves à Petit-Bourg-Barboteau] à Petit-Bourg - La Grande Rivière à Goyaves à Petit-Bourg [Barboteau pont de la Traversée];STD;1973-03-22 00:00:00;2005-10-31 00:00:00;-61.65561032021676;16.193954427748558
"1011000401";[La Grande Rivière à Goyaves à Petit-Bourg [Vernou]] à Petit-Bourg - Vernou;STD;1989-06-21 00:00:00;1992-01-01 00:00:00;-61.67277841400402;16.158271038628488
"1015000101";La rivière Bras David à Petit-Bourg [Maison Forêt];STD;2001-07-01 00:00:00;;-61.69319974980519;16.175997699294648
"1016000101";[Prise d'eau Duclos] à Petit-Bourg - Duclos;STD;2016-02-01 00:00:00;;-61.666435864258226;16.199136863468723
"1016000201";[La rivière Bras David à Petit-Bourg [cote 110]] à Petit-Bourg - La rivière Bras David à Petit-Bourg [cote 110];STD;1950-12-31 00:00:00;1987-09-04 00:00:00;-61.65723392859721;16.202822061694366
"1016000301";[Petit-Bourg [cote 130]] à Petit-Bourg [Riviere bras david];STD;1982-03-31 00:00:00;1995-01-01 00:00:00;-61.673385354414954;16.193433429216544
"1020000101";[Grande riviere a goyave] à Petit-Bourg [Prise d'eau, cote 90] - Petit-Bourg [Prise d'eau cote 90];STD;1950-11-28 00:00:00;1989-05-17 00:00:00;-61.65309329170792;16.20511864891793
"1021000101";[Lamentin [Ravine Chaude]] à Lamentin [Lamentin [Ravine Chaude]] - Lamentin [Ravine Chaude];STD;1973-05-02 00:00:00;1976-01-01 00:00:00;-61.66868169805797;16.22530873299091
"1025000101";[La Boucan] à Sainte-Rose - BOUCAN;STD;1973-03-19 00:00:00;;-61.668130064556244;16.279711710612467
"1025000201";[Sainte-Rose [Bonne Mere]] à Sainte-Rose [Grande riviere a goyave] - Sainte-Rose [Bonne Mere];STD;1989-05-30 00:00:00;1992-06-11 00:00:00;-61.667993470623735;16.27194115273729
"1040000101";[Ravine Bleue] à Sainte-Rose - Ravbleue;STD;2014-07-02 00:00:00;;-61.717770022668105;16.29387012334174
"1040000201";[Sainte-Rose [Forêt de Marolles]] à Sainte-Rose [Riviere moustique sainte-rose] - Sainte-Rose [Forêt de Marolles];STD;1983-12-01 00:00:00;2006-04-30 00:00:00;-61.715113666895036;16.296798381225706
"1044000101";[Riviere nogent] à Sainte-Rose - La rivière Nogent à Sainte-Rose [Pont de Nogent];STD;1979-01-30 00:00:00;1988-01-01 00:00:00;-61.745007441030616;16.336032497140728
"1110000101";[Prise d'eau] à Petit-Bourg [TRIANON] - TRIANON;STD;1984-10-01 00:00:00;;-61.627892425270254;16.15794141508339
"1111000101";[pont RN] à Petit-Bourg;STD;2016-02-01 00:00:00;;-61.602124179620155;16.18195198781164
"1112000101";[Riviere la rose] à Goyave [cote 75] - Goyave [cote 75];STD;1984-01-01 00:00:00;1986-11-20 00:00:00;-61.597352472316615;16.149653493261088
"1113000101";[Riviere lezarde] à Petit-Bourg [cote 85] - Petit-Bourg [cote 85];STD;1968-07-01 00:00:00;1993-01-01 00:00:00;-61.64719292777571;16.180126943122925
"1120000101";[Prise d'eau] à Capesterre-Belle-Eau [DIGUE] - Capesterre - La DIGUE;STD;1983-05-01 00:00:00;;-61.60938152783078;16.071929809769838
"1120000201";[pont RN] à Capesterre-Belle-Eau;STD;2016-02-01 00:00:00;;-61.56608824032619;16.05703634855661
"1120000301";[Capesterre-Belle-Eau [cote 95]] à Capesterre-Belle-Eau - Capesterre-Belle-Eau [cote 95];STD;1968-12-31 00:00:00;1987-05-15 00:00:00;-61.585446666763325;16.06680502000074
"1121000101";[Riviere du Perou] à Capesterre-Belle-Eau [cote 205] - Capesterre-Belle-Eau [cote 205] - Perou;STD;1987-06-02 00:00:00;1993-01-01 00:00:00;-61.60340179321261;16.057559475843767
"1122000101";[Riviere du Grand Carbet] à Capesterre-Belle-Eau [Amont prise Marquis] - Capesterre-Belle-Eau [amont prise Marquis];STD;1950-07-18 00:00:00;1989-12-09 00:00:00;-61.60561967172012;16.039714664647523
"1122000201";[Riviere du Grand Carbet] à Capesterre-Belle-Eau [Cote 15] - Capesterre-Belle-Eau [cote 15] - Riviere du Grand Carbet;STD;1983-11-29 00:00:00;1988-01-01 00:00:00;-61.57502155033067;16.022531066751895
"1122000301";[Riviere du Grand Carbet] à Capesterre-Belle-Eau [Barrage] - La rivière du Grand Carbet à Capesterre-Belle-Eau [Barrage];STD;1961-11-23 00:00:00;1995-01-01 00:00:00;-61.62369334885801;16.04538991797069
"1123000101";[riviere Moreau] à Goyave [cote 170] - Goyave [cote 170] - Moreau;STD;1987-05-04 00:00:00;1993-01-01 00:00:00;-61.61520631437038;16.12374068735035
"1124000101";[Petite Riviere A Goyave] à Goyave - cote 10;STD;1974-09-01 00:00:00;1993-01-01 00:00:00;-61.58733724474449;16.127263578896738
"1126000101";[riviere Sainte Marie] à Capesterre-Belle-Eau - La rivière Sainte Marie à Capesterre-Belle-Eau;STD;1974-08-01 00:00:00;1986-11-17 00:00:00;-61.5624569528755;16.100001781669544
"1131000101";[Pont RD] à Trois-Rivières [Grande Anse];STD;1984-04-18 00:00:00;;-61.65951213116494;15.963211632125958
"1134000101";[riviere Bananier] à Capesterre-Belle-Eau [Pont Thévenin] - La rivière Bananier à Capesterre-Belle-Eau [Pont Thévenin];STD;1950-09-28 00:00:00;1954-04-01 00:00:00;-61.60927627485106;16.01915862759769
"1134000201";[riviere Bananier] à Capesterre-Belle-Eau [Déversoir à l'échelle] - La rivière Bananier à Capesterre-Belle-Eau [Déversoir à l'échelle];STD;1955-02-03 00:00:00;1978-12-28 00:00:00;-61.61541307635849;16.02500079018718
"1134000301";[rivière Bananier] à Capesterre-Belle-Eau [Déversoir au limnigraphe] - La rivière Bananier à Capesterre-Belle-Eau [Déversoir au limnigraphe];STD;1970-07-31 00:00:00;1992-01-01 00:00:00;-61.615282247078326;16.024999945899935
"1212000101";[Rivière des Pères] à Baillif [Rivière des Pères] - Baillif;STD;1983-04-25 00:00:00;;-61.73926976607774;16.010759526428753
"1213000101";[riviere aux Herbes] à Basse-Terre - La rivière aux Herbes à Basse-Terre;STD;1983-06-01 00:00:00;1988-01-01 00:00:00;-61.7251528376447;15.996332898627626
"1214000101";[Galion] à Basse-Terre - Galion;STD;1983-05-17 00:00:00;2005-09-01 00:00:00;-61.72041366579301;15.989236632299844
"1218000101";[riviere du Plessis] à Baillif;STD;1962-03-01 00:00:00;1987-05-26 00:00:00;-61.718538801732215;16.067742559294537
"1220000101";[Grande Riviere de Vieux-Habitants] à Vieux-Habitants [cote 570] - cote 570;STD;1959-10-20 00:00:00;1969-01-01 00:00:00;-61.69551978384368;16.110056606666742
"1220000201";[Grande Riviere de Vieux-Habitants] à Vieux-Habitants [cote 325] - cote 325;STD;1959-06-30 00:00:00;1963-10-24 00:00:00;-61.717583131354836;16.101603762872887
"1221000101";[Prise d'eau] à Vieux-Habitants [Barthole] - VIEUX-HABITANTS BARTHOLE;STD;1980-01-01 00:00:00;;-61.72518095704987;16.086536891886077
"1221000201";[Pont RN] à Vieux-Habitants - Vieux-Habitants Pont RN;STD;1951-02-11 00:00:00;;-61.75992953341548;16.05965704370074
"1224000101";[riviere Beaugendre] à Vieux-Habitants [cote 77] - cote 77;STD;1979-02-15 00:00:00;1993-06-03 00:00:00;-61.74909047001637;16.098599964753063
"1227000101";[pont RD] à Bouillante [Lostau] - lostau;STD;2017-06-01 00:00:00;;-61.765614739155815;16.162251555079457
"1227000201";[riviere Lostau] à Bouillante [cote 70] - La rivière Lostau à Bouillante [cote 70];STD;1979-02-20 00:00:00;1987-01-30 00:00:00;-61.75707071727025;16.160722892447804
"1227000301";[rivière Lostau] à Bouillante [Déversoir] - La rivière Lostau à Bouillante [Déversoir];STD;1979-02-01 00:00:00;1993-06-30 00:00:00;-61.75055344907671;16.16202244603379
"1232000101";La rivière de Petite-Plaine à Pointe-Noire;STD;2016-11-01 00:00:00;;-61.77603940873774;16.224316529664172
"1232000201";[riviere Petite Plaine] à Pointe-Noire [Historique] - La rivière Petite Plaine à Pointe-Noire - Historique;STD;1964-01-01 00:00:00;1993-06-03 00:00:00;-61.74647775495127;16.067971261024034
"1235000101";[riviere Ferry] à Deshaies [cote 35] - cote 35;STD;1979-02-20 00:00:00;1988-01-05 00:00:00;-61.790583610009044;16.285746742694492
"1236000101";La rivière Deshaies à Deshaies;STD;2011-11-01 00:00:00;;-61.7828683668632;16.296725490873023
"1311000101";[ravine Bacadore] aux Abymes;STD;1968-11-21 00:00:00;1980-01-01 00:00:00;-61.50846828584691;16.25579340927004
"1332000101";La ravine des Coudes [MAE] à Morne-à-l'Eau;STD;2013-04-11 00:00:00;;-61.44083609182369;16.32929058334265
